id,driver_id,type,plate_number,brand,model,status
57,user_00141,motorbike,63-X645176,Honda,Future Neo,active
58,user_00147,car,60-L304133,Mazda,Mazda6,active
59,user_00151,motorbike,54-L206032,SYM,Angel,active
60,user_00156,motorbike,59-X138598,SYM,Attila,active
61,user_00158,motorbike,62-Y473558,Honda,Vision,active
62,user_00160,motorbike,61-W763583,Honda,Air Blade,active
63,user_00161,motorbike,54-E720043,Yamaha,Sirius,active
64,user_00166,car,59-P850945,Mazda,CX-8,active
65,user_00168,motorbike,59-E523024,SYM,Attila,active
66,user_00173,motorbike,63-U546191,SYM,Elizabeth,active
67,user_00181,motorbike,63-I539688,Yamaha,Exciter,active
68,user_00182,motorbike,59-G124583,Yamaha,Grande,active
69,user_00183,motorbike,61-Z689314,Honda,Wave Alpha,active
70,user_00184,motorbike,62-F984004,Yamaha,Nouvo,active
71,user_00188,motorbike,62-D051686,Yamaha,Sirius,active
72,user_00189,motorbike,62-J612955,SYM,Elizabeth,active
73,user_00190,motorbike,15-V155278,Honda,SH Mode,active
74,user_00191,motorbike,15-F873066,SYM,Galaxy,active
75,user_00194,car,61-H274105,Honda,Civic,active
76,user_00202,motorbike,62-I162466,Yamaha,Grande,active
77,user_00204,car,60-J913276,Honda,CR-V,active
78,user_00206,car,60-D061577,Kia,Cerato,active
79,user_00208,motorbike,15-R984619,Honda,Winner X,active
80,user_00211,car,54-R039983,Hyundai,Tucson,active
81,user_00212,motorbike,63-P224281,SYM,Angel,active
82,user_00213,car,59-E282255,Toyota,Innova,active
83,user_00214,motorbike,15-H808910,Honda,Winner X,active
84,user_00221,car,15-D755831,Mazda,CX-5,active
85,user_00224,motorbike,59-A020338,Honda,Winner X,active
86,user_00226,motorbike,62-B017416,Honda,Air Blade,active
87,user_00227,motorbike,62-I402723,Honda,SH Mode,active
88,user_00229,car,60-E771711,Mazda,Mazda3,active
89,user_00231,motorbike,60-A714908,Yamaha,Sirius,active
90,user_00235,motorbike,54-Y835811,SYM,Galaxy,active
91,user_00238,motorbike,54-Q137951,Honda,Future Neo,active
92,user_00242,motorbike,61-S547985,SYM,Elizabeth,active
93,user_00243,motorbike,59-F501987,Honda,Future Neo,active
94,user_00246,motorbike,63-M160498,Honda,Wave Alpha,active
95,user_00253,motorbike,59-O113433,Yamaha,Grande,active
96,user_00260,motorbike,63-I830942,SYM,Angel,active
97,user_00270,motorbike,54-J628895,Yamaha,Sirius,active
98,user_00272,motorbike,61-W374217,SYM,Galaxy,active
99,user_00277,motorbike,62-V208980,Honda,Wave Alpha,active
100,user_00278,motorbike,61-Y978735,Honda,Winner X,active
101,user_00283,motorbike,59-F931843,SYM,Angel,active
102,user_00290,motorbike,59-I041293,Yamaha,Janus,active
103,user_00292,car,59-D231653,Toyota,Vios,active
104,user_00293,motorbike,54-B193088,SYM,Attila,active
105,user_00294,motorbike,54-Y590592,Honda,Winner X,active
106,user_00296,motorbike,59-D232151,Yamaha,Exciter,active
107,user_00298,motorbike,15-Z106065,Honda,Air Blade,active
108,user_00303,motorbike,54-D372592,Honda,Future Neo,active
109,user_00309,motorbike,63-D689496,Honda,Future Neo,active
110,user_00318,motorbike,54-U176153,Yamaha,Exciter,active
111,user_00320,motorbike,61-W085534,Yamaha,Sirius,active
112,user_00321,motorbike,15-M577973,SYM,Attila,active
113,user_00326,car,63-O351193,Mazda,CX-8,active
114,user_00329,motorbike,61-Z141142,SYM,Elizabeth,active
115,user_00331,motorbike,60-D114239,Honda,Future Neo,active
116,user_00332,car,60-M537647,Mazda,CX-8,active
117,user_00335,motorbike,54-C824662,Yamaha,Nouvo,active
118,user_00338,car,61-B819441,Toyota,Altis,active
119,user_00342,car,62-S677469,Hyundai,Accent,active
120,user_00343,motorbike,61-N935943,Yamaha,Janus,active
121,user_00344,car,15-Q690140,Toyota,Altis,active
122,user_00353,motorbike,62-B935966,Yamaha,Nouvo,active
123,user_00354,motorbike,59-Q526014,Honda,Wave Alpha,active
124,user_00357,car,54-Q873301,Mazda,Mazda6,active
125,user_00362,motorbike,63-O474599,Yamaha,Sirius,active
126,user_00363,motorbike,62-N215182,Honda,Air Blade,active
127,user_00364,motorbike,54-E289815,SYM,Attila,active
128,user_00365,car,15-I280899,Hyundai,Accent,active
129,user_00371,car,62-D645813,Toyota,Innova,active
130,user_00387,motorbike,61-F084438,Honda,Wave Alpha,active
131,user_00388,motorbike,60-M750306,Yamaha,Sirius,active
132,user_00389,motorbike,61-W665973,Yamaha,Janus,active
133,user_00390,motorbike,59-A099234,Honda,Future Neo,active
134,user_00392,motorbike,63-C057185,SYM,Angel,active
135,user_00393,motorbike,15-J397338,Yamaha,Grande,active
136,user_00396,motorbike,61-Y774062,Honda,Air Blade,active
137,user_00399,motorbike,63-U600106,Yamaha,Janus,active
138,user_00401,car,15-A561266,Kia,Cerato,active
139,user_00405,motorbike,15-Z988502,Yamaha,Grande,active
140,user_00407,motorbike,15-W640589,Honda,Winner X,active
141,user_00409,motorbike,15-L292984,SYM,Galaxy,active
142,user_00413,motorbike,62-X373515,SYM,Galaxy,active
143,user_00415,motorbike,59-T753493,Yamaha,Janus,active
144,user_00417,motorbike,59-P435125,Honda,Future Neo,active
145,user_00427,motorbike,60-K190327,Honda,Vision,active
146,user_00428,car,15-Y523099,Toyota,Vios,active
147,user_00431,motorbike,61-E130726,Honda,Wave Alpha,active
148,user_00432,motorbike,54-M587391,Honda,Air Blade,active
149,user_00435,motorbike,62-E494988,Honda,Wave Alpha,active
150,user_00439,motorbike,61-T859743,Honda,Future Neo,active
151,user_00440,motorbike,63-G225062,Honda,Future Neo,active
152,user_00442,motorbike,62-C937818,SYM,Attila,active
153,user_00446,motorbike,61-S864779,Honda,Vision,active
154,user_00447,motorbike,59-X268360,Yamaha,Nouvo,active
155,user_00449,motorbike,62-D364512,Yamaha,Janus,active
156,user_00451,motorbike,15-W107794,Honda,Future Neo,active
157,user_00452,motorbike,63-W050631,SYM,Attila,active
158,user_00454,motorbike,54-H305380,SYM,Galaxy,active
159,user_00456,car,54-J342994,Mazda,Mazda6,active
160,user_00458,car,54-M482220,Hyundai,Tucson,active
161,user_00459,motorbike,63-C426774,Honda,Air Blade,active
162,user_00460,motorbike,62-U248491,Honda,SH Mode,active
163,user_00461,car,54-V928300,Hyundai,Santa Fe,active
164,user_00463,car,54-F949678,Hyundai,Santa Fe,active
165,user_00465,motorbike,60-Q565718,Yamaha,Sirius,active
166,user_00470,motorbike,54-W133109,SYM,Elizabeth,active
167,user_00472,motorbike,61-H028861,SYM,Galaxy,active
168,user_00474,motorbike,59-R359624,Honda,Future Neo,active
169,user_00476,motorbike,60-X028770,SYM,Elizabeth,active
170,user_00477,car,63-D720106,Kia,Morning,active
171,user_00478,motorbike,15-J397112,Honda,Wave Alpha,active
172,user_00479,car,54-M542305,Mazda,CX-5,active
173,user_00483,motorbike,60-T895529,Honda,Wave Alpha,active
174,user_00485,motorbike,15-K690889,SYM,Attila,active
175,user_00493,motorbike,61-H021437,SYM,Angel,active
176,user_00494,motorbike,59-L558962,Yamaha,Sirius,active
177,user_00497,car,60-B979016,Honda,Accord,active
178,user_00498,motorbike,15-L873703,SYM,Attila,active
179,user_00501,motorbike,62-F744431,Honda,Winner X,active
180,user_00502,motorbike,54-L220846,SYM,Angel,active
181,user_00507,motorbike,60-Q155436,Yamaha,Exciter,active
182,user_00508,motorbike,62-F945902,Honda,Air Blade,active
183,user_00510,motorbike,60-I390850,SYM,Galaxy,active
184,user_00518,motorbike,15-I344402,Honda,Future Neo,active
185,user_00521,motorbike,59-N994941,Yamaha,Sirius,active
186,user_00523,motorbike,63-R980224,SYM,Elizabeth,active
187,user_00524,motorbike,59-C006758,Yamaha,Janus,active
188,user_00527,car,61-S489789,Kia,Sorento,active
189,user_00529,car,60-C737264,Hyundai,Accent,active
190,user_00531,motorbike,54-Y475701,Honda,SH Mode,active
191,user_00533,motorbike,59-H703522,Honda,SH Mode,active
192,user_00537,motorbike,59-V952882,Honda,Air Blade,active
193,user_00544,motorbike,61-X971773,Yamaha,Janus,active
194,user_00546,motorbike,63-E162770,SYM,Angel,active
195,user_00548,motorbike,62-Q371282,SYM,Elizabeth,active
196,user_00549,car,62-N055957,Hyundai,Tucson,active
197,user_00550,motorbike,54-V370583,Yamaha,Nouvo,active
198,user_00551,motorbike,54-M003388,Honda,SH Mode,active
199,user_00553,motorbike,61-W960221,SYM,Elizabeth,active
200,user_00555,car,61-M345469,Kia,Cerato,active
201,user_00557,motorbike,60-Z360965,Honda,Air Blade,active
202,user_00561,car,60-O921364,Mazda,Mazda3,active
203,user_00562,motorbike,61-P270025,SYM,Attila,active
204,user_00564,motorbike,62-N138733,Yamaha,Nouvo,active
205,user_00566,motorbike,54-P007382,SYM,Attila,active
206,user_00568,motorbike,62-T138545,Honda,Future Neo,active
207,user_00574,motorbike,54-I903629,Honda,Winner X,active
208,user_00576,motorbike,54-C207779,Honda,Future Neo,active
209,user_00577,motorbike,62-R437845,Honda,Air Blade,active
210,user_00585,motorbike,60-I069040,Honda,Air Blade,active
211,user_00586,motorbike,54-G741988,Honda,Vision,active
212,user_00587,motorbike,62-X190413,Yamaha,Nouvo,active
213,user_00588,motorbike,62-E196566,SYM,Elizabeth,active
214,user_00605,car,15-K301100,Toyota,Fortuner,active
215,user_00606,motorbike,15-Q946901,Honda,Future Neo,active
216,user_00607,motorbike,59-S535158,Yamaha,Grande,active
217,user_00609,motorbike,61-H793238,Honda,Winner X,active
218,user_00610,motorbike,62-K237171,Honda,Winner X,active
219,user_00613,motorbike,59-O595975,Honda,Air Blade,active
220,user_00614,motorbike,60-F844066,SYM,Attila,active
221,user_00615,motorbike,61-Z234365,Yamaha,Nouvo,active
222,user_00617,motorbike,15-Q985924,Yamaha,Nouvo,active
223,user_00618,motorbike,59-A619347,SYM,Angel,active
224,user_00621,car,61-D930334,Mazda,Mazda6,active
225,user_00622,motorbike,62-V393943,Honda,Future Neo,active
226,user_00625,motorbike,15-A163781,SYM,Galaxy,active
227,user_00629,motorbike,61-C960812,Yamaha,Nouvo,active
228,user_00634,motorbike,54-I495987,SYM,Elizabeth,active
229,user_00635,motorbike,15-C799609,Yamaha,Exciter,active
230,user_00638,motorbike,54-K492193,Honda,Future Neo,active
231,user_00645,motorbike,60-Z556488,Yamaha,Grande,active
232,user_00647,motorbike,61-D231978,Honda,Wave Alpha,active
233,user_00648,motorbike,54-S006987,SYM,Angel,active
234,user_00654,motorbike,61-D553275,Yamaha,Nouvo,active
235,user_00658,motorbike,63-R852044,Honda,Air Blade,active
236,user_00660,car,62-A888371,Mazda,Mazda3,active
237,user_00665,car,62-D001307,Toyota,Altis,active
238,user_00668,motorbike,54-U115495,Yamaha,Nouvo,active
239,user_00670,motorbike,60-H926504,Honda,SH Mode,active
240,user_00671,motorbike,54-Q065674,SYM,Attila,active
241,user_00679,car,15-W504592,Mazda,CX-8,active
242,user_00681,motorbike,54-Y239813,SYM,Angel,active
243,user_00682,motorbike,61-H490612,SYM,Attila,active
244,user_00683,motorbike,15-M278159,SYM,Elizabeth,active
245,user_00684,motorbike,54-R781767,SYM,Angel,active
246,user_00686,motorbike,62-P158842,SYM,Elizabeth,active
247,user_00687,car,54-S716232,Kia,Sorento,active
248,user_00688,car,59-M141551,Toyota,Vios,active
249,user_00691,car,54-L912938,Kia,Cerato,active
250,user_00693,motorbike,62-M364461,Yamaha,Grande,active
251,user_00696,motorbike,59-I754639,Honda,SH Mode,active
252,user_00698,motorbike,54-X413811,Honda,SH Mode,active
253,user_00701,motorbike,62-I962581,Honda,Future Neo,active
254,user_00702,motorbike,15-T256913,SYM,Angel,active
255,user_00704,car,63-H300288,Honda,Accord,active
256,user_00705,motorbike,61-U645267,SYM,Galaxy,active
257,user_00706,car,63-Q899544,Kia,Sportage,active
258,user_00707,motorbike,59-R489633,SYM,Galaxy,active
259,user_00710,motorbike,54-Y235036,Honda,Wave Alpha,active
260,user_00713,motorbike,15-K131035,Honda,Vision,active
261,user_00717,motorbike,63-Q918329,Yamaha,Exciter,active
262,user_00718,car,54-D659256,Kia,Sorento,active
263,user_00720,car,54-N533289,Mazda,Mazda3,active
264,user_00724,car,54-E918916,Toyota,Altis,active
265,user_00726,motorbike,61-U786415,SYM,Attila,active
266,user_00727,motorbike,15-N407562,SYM,Elizabeth,active
267,user_00728,car,60-M155540,Toyota,Fortuner,active
268,user_00734,motorbike,60-H051913,Yamaha,Exciter,active
269,user_00739,motorbike,63-J303396,Honda,Wave Alpha,active
270,user_00745,motorbike,63-R240066,Honda,Future Neo,active
271,user_00749,car,63-A049222,Mazda,CX-5,active
272,user_00750,motorbike,15-Y772960,SYM,Galaxy,active
273,user_00751,motorbike,62-M460649,Honda,Wave Alpha,active
274,user_00755,motorbike,59-G238820,Honda,Future Neo,active
275,user_00757,motorbike,63-U637665,Honda,Vision,active
276,user_00762,car,54-X431086,Honda,Civic,active
277,user_00763,motorbike,54-Z359234,Yamaha,Sirius,active
278,user_00765,motorbike,54-V906141,SYM,Angel,active
279,user_00774,motorbike,62-C382547,Yamaha,Grande,active
280,user_00779,motorbike,15-D206114,SYM,Galaxy,active
281,user_00780,car,63-V626066,Toyota,Altis,active
282,user_00790,motorbike,63-C190877,Honda,Future Neo,active
283,user_00795,motorbike,60-I225616,Yamaha,Grande,active
284,user_00800,motorbike,54-U783015,SYM,Galaxy,active
285,user_00803,motorbike,15-D848599,Yamaha,Grande,active
286,user_00804,motorbike,60-Z271739,SYM,Elizabeth,active
287,user_00806,motorbike,60-A394868,Yamaha,Janus,active
288,user_00808,car,15-E007366,Honda,City,active
289,user_00811,motorbike,62-H973760,Yamaha,Janus,active
290,user_00813,motorbike,15-T740604,Honda,Vision,active
291,user_00814,motorbike,59-Y972669,Yamaha,Sirius,active
292,user_00817,motorbike,60-Z340560,Honda,Vision,active
293,user_00821,motorbike,60-G327076,Honda,Air Blade,active
294,user_00823,motorbike,59-P600265,Honda,Air Blade,active
295,user_00831,motorbike,63-H919801,Yamaha,Nouvo,active
296,user_00833,car,61-D672498,Kia,Sportage,active
297,user_00842,motorbike,62-H402683,Honda,Winner X,active
298,user_00844,motorbike,60-Q275766,Honda,Future Neo,active
299,user_00848,motorbike,54-Y690996,SYM,Attila,active
300,user_00857,motorbike,60-O958384,Honda,SH Mode,active
301,user_00859,motorbike,59-Y596052,SYM,Galaxy,active
302,user_00863,motorbike,60-W777666,Honda,Vision,active
303,user_00865,motorbike,59-Q931435,Yamaha,Nouvo,active
304,user_00866,motorbike,62-A512989,Honda,Winner X,active
305,user_00868,motorbike,15-S742372,Honda,Air Blade,active
306,user_00871,motorbike,60-K318131,SYM,Attila,active
307,user_00878,motorbike,62-G168913,SYM,Attila,active
308,user_00881,motorbike,62-Q760197,Honda,Air Blade,active
309,user_00884,motorbike,15-P512569,Honda,SH Mode,active
310,user_00885,motorbike,59-O617396,Yamaha,Nouvo,active
311,user_00888,motorbike,60-E076035,Yamaha,Sirius,active
312,user_00893,motorbike,63-U695420,SYM,Elizabeth,active
313,user_00899,motorbike,15-I454321,SYM,Angel,active
314,user_00901,motorbike,61-U257291,Yamaha,Janus,active
315,user_00904,motorbike,54-Q289185,Yamaha,Grande,active
316,user_00907,motorbike,54-T289892,Yamaha,Grande,active
317,user_00911,motorbike,62-Z723452,Honda,Future Neo,active
318,user_00912,motorbike,54-S796526,Yamaha,Sirius,active
319,user_00914,motorbike,62-G504130,Honda,Air Blade,active
320,user_00915,motorbike,61-D813637,SYM,Galaxy,active
321,user_00918,motorbike,54-F055059,Honda,Future Neo,active
322,user_00920,car,54-D724148,Mazda,Mazda6,active
323,user_00922,motorbike,63-G223817,Honda,Vision,active
324,user_00923,motorbike,15-B273101,SYM,Attila,active
325,user_00924,motorbike,15-T392942,Honda,SH Mode,active
326,user_00925,motorbike,62-E218545,SYM,Attila,active
327,user_00928,motorbike,59-Z675861,SYM,Galaxy,active
328,user_00929,motorbike,61-E413840,Honda,Winner X,active
329,user_00930,motorbike,61-F416668,Yamaha,Janus,active
330,user_00933,motorbike,54-L510032,Yamaha,Grande,active
331,user_00940,car,61-B174062,Toyota,Fortuner,active
332,user_00941,motorbike,63-O951303,Yamaha,Sirius,active
333,user_00943,motorbike,59-Y945206,Honda,SH Mode,active
334,user_00950,car,15-L461276,Toyota,Vios,active
335,user_00952,motorbike,54-V714295,Yamaha,Janus,active
336,user_00957,motorbike,59-B824102,Honda,SH Mode,active
337,user_00959,motorbike,61-J547811,Yamaha,Sirius,active
338,user_00961,motorbike,54-Q099718,SYM,Galaxy,active
339,user_00965,car,59-Q063506,Mazda,CX-5,active
340,user_00967,motorbike,61-G071099,Honda,Future Neo,active
341,user_00971,motorbike,60-V987102,Yamaha,Janus,active
342,user_00972,motorbike,62-Y470963,Honda,Vision,active
343,user_00973,motorbike,54-F162370,Honda,Future Neo,active
344,user_00975,motorbike,63-U335229,SYM,Attila,active
345,user_00977,car,59-Q540989,Mazda,CX-5,active
346,user_00978,motorbike,15-V818720,SYM,Attila,active
347,user_00982,motorbike,54-Y118538,Yamaha,Grande,active
348,user_00984,car,60-F504938,Mazda,CX-8,active
349,user_00987,motorbike,54-U025944,SYM,Elizabeth,active
350,user_00988,motorbike,63-K726211,SYM,Galaxy,active
351,user_00993,motorbike,61-C251102,Yamaha,Nouvo,active
352,user_00997,motorbike,62-K984041,Yamaha,Grande,active
353,user_00998,motorbike,61-Q657481,SYM,Attila,active
354,user_01001,motorbike,15-S153625,SYM,Angel,active
355,user_01006,motorbike,59-M544496,Yamaha,Exciter,active
356,user_01011,motorbike,60-M523455,Honda,Wave Alpha,active
357,user_01013,car,60-J603757,Mazda,CX-8,active
358,user_01014,motorbike,59-U827398,Honda,SH Mode,active
359,user_01015,motorbike,15-O610473,Yamaha,Janus,active
360,user_01016,motorbike,15-B854573,Honda,SH Mode,active
361,user_01022,motorbike,54-Y409354,Yamaha,Janus,active
362,user_01024,car,59-W199722,Hyundai,Tucson,active
363,user_01026,motorbike,62-R063720,Yamaha,Exciter,active
364,user_01027,car,62-Z042749,Hyundai,Santa Fe,active
365,user_01033,motorbike,60-T012728,Yamaha,Exciter,active
366,user_01038,car,54-D746726,Hyundai,Accent,active
367,user_01044,motorbike,15-T569490,Honda,Wave Alpha,active
368,user_01047,motorbike,60-L012411,Honda,Winner X,active
369,user_01053,motorbike,63-E168698,SYM,Attila,active
370,user_01056,motorbike,15-O515596,SYM,Angel,active
371,user_01063,motorbike,60-W007759,SYM,Angel,active
372,user_01074,motorbike,59-O157770,Yamaha,Exciter,active
373,user_01075,motorbike,54-R962347,Yamaha,Exciter,active
374,user_01077,motorbike,61-M390189,Yamaha,Nouvo,active
375,user_01084,motorbike,61-B603841,SYM,Angel,active
376,user_01089,motorbike,62-I352883,Yamaha,Nouvo,active
377,user_01090,motorbike,60-A566135,SYM,Elizabeth,active
378,user_01092,motorbike,59-I419983,Yamaha,Sirius,active
379,user_01093,motorbike,60-L828912,SYM,Elizabeth,active
380,user_01097,motorbike,59-G049981,Yamaha,Sirius,active
381,user_01098,motorbike,54-N494481,SYM,Angel,active
382,user_01099,car,60-V447471,Honda,Civic,active
383,user_01101,motorbike,62-I909655,Yamaha,Sirius,active
384,user_01103,motorbike,62-K391898,SYM,Elizabeth,active
385,user_01104,motorbike,60-O332374,SYM,Elizabeth,active
386,user_01112,motorbike,54-A867598,SYM,Galaxy,active
387,user_01114,motorbike,60-P457553,Yamaha,Janus,active
388,user_01115,motorbike,61-O418297,Honda,SH Mode,active
389,user_01117,motorbike,63-Y682376,Honda,Winner X,active
390,user_01125,motorbike,59-N856969,SYM,Angel,active
391,user_01130,motorbike,62-O491224,Honda,Wave Alpha,active
392,user_01132,car,54-N847631,Honda,CR-V,active
393,user_01133,motorbike,59-G124127,SYM,Attila,active
394,user_01137,car,63-B277840,Honda,Accord,active
395,user_01138,motorbike,62-K435882,SYM,Galaxy,active
396,user_01139,motorbike,54-E677506,SYM,Attila,active
397,user_01141,motorbike,61-H873120,SYM,Angel,active
398,user_01143,motorbike,54-C350255,SYM,Galaxy,active
399,user_01144,motorbike,62-Y574726,Honda,Vision,active
400,user_01145,motorbike,61-Z903779,SYM,Angel,active
401,user_01148,motorbike,15-Q397202,Yamaha,Janus,active
402,user_01156,motorbike,15-U949139,Honda,SH Mode,active
403,user_01158,motorbike,63-Q248004,Yamaha,Exciter,active
404,user_01165,motorbike,54-Q992943,Yamaha,Grande,active
405,user_01167,motorbike,59-B635932,Honda,SH Mode,active
406,user_01169,motorbike,60-X252764,SYM,Elizabeth,active
407,user_01170,motorbike,63-F502205,Honda,Future Neo,active
408,user_01171,car,15-H354715,Toyota,Altis,active
409,user_01174,car,15-M602504,Honda,CR-V,active
410,user_01175,motorbike,60-X587527,SYM,Galaxy,active
411,user_01176,motorbike,62-P583244,Yamaha,Exciter,active
412,user_01180,motorbike,59-V458417,SYM,Angel,active
413,user_01185,motorbike,60-F804222,Honda,Wave Alpha,active
414,user_01186,motorbike,63-O694888,SYM,Attila,active
415,user_01187,motorbike,62-F552564,Honda,Winner X,active
416,user_01190,car,61-E847954,Honda,City,active
417,user_01193,motorbike,62-R282999,Yamaha,Janus,active
418,user_01199,motorbike,15-I522810,Honda,Future Neo,active
419,user_01204,motorbike,61-G396632,SYM,Attila,active
420,user_01207,car,61-S248019,Hyundai,Elantra,active
421,user_01209,car,63-E812288,Honda,City,active
422,user_01210,motorbike,60-J748367,SYM,Galaxy,active
423,user_01213,motorbike,63-B065690,Yamaha,Nouvo,active
424,user_01219,car,63-N410574,Hyundai,Tucson,active
425,user_01220,motorbike,61-F899411,Honda,Wave Alpha,active
426,user_01221,motorbike,61-W817720,Honda,Vision,active
427,user_01225,motorbike,60-G434352,Honda,SH Mode,active
428,user_01227,motorbike,15-Z687294,Honda,Air Blade,active
429,user_01228,motorbike,63-X003892,Honda,Future Neo,active
430,user_01233,car,63-S722308,Honda,CR-V,active
431,user_01237,motorbike,63-O572472,Honda,Air Blade,active
432,user_01239,motorbike,60-E344917,Honda,Future Neo,active
433,user_01240,car,60-X307648,Honda,Civic,active
434,user_01241,car,54-G875796,Honda,City,active
435,user_01242,motorbike,61-Z438017,Honda,Future Neo,active
436,user_01246,motorbike,59-Z369478,Yamaha,Exciter,active
437,user_01248,motorbike,62-X332578,Yamaha,Janus,active
438,user_01249,motorbike,62-A213095,Yamaha,Nouvo,active
439,user_01250,motorbike,59-C145903,Yamaha,Exciter,active
440,user_01253,motorbike,62-W497095,Honda,Air Blade,active
441,user_01254,car,54-U318201,Mazda,CX-8,active
442,user_01255,motorbike,59-H968730,SYM,Angel,active
443,user_01256,motorbike,63-O202971,SYM,Elizabeth,active
444,user_01257,motorbike,63-I591958,Yamaha,Sirius,active
445,user_01258,motorbike,59-E433262,Yamaha,Janus,active
446,user_01261,motorbike,59-F854918,SYM,Elizabeth,active
447,user_01262,motorbike,63-Q682472,Honda,Vision,active
448,user_01263,motorbike,62-G867463,SYM,Elizabeth,active
449,user_01274,motorbike,61-X199308,Yamaha,Nouvo,active
450,user_01277,motorbike,62-R644297,SYM,Attila,active
451,user_01278,car,63-E502901,Toyota,Vios,active
452,user_01283,motorbike,59-N312291,Yamaha,Exciter,active
453,user_01288,motorbike,54-P056239,Honda,Air Blade,active
454,user_01292,motorbike,59-P764832,Yamaha,Exciter,active
455,user_01295,motorbike,60-U373549,SYM,Galaxy,active
456,user_01296,motorbike,63-L588143,Honda,SH Mode,active
457,user_01297,motorbike,59-Y956256,SYM,Angel,active
458,user_01299,motorbike,62-R397498,Yamaha,Sirius,active
459,user_01304,motorbike,63-I274557,Yamaha,Grande,active
460,user_01305,motorbike,62-B128702,Yamaha,Sirius,active
461,user_01309,car,59-G735999,Mazda,Mazda6,active
462,user_01315,motorbike,63-P959102,Honda,Wave Alpha,active
463,user_01317,car,61-S649677,Hyundai,Accent,active
464,user_01320,motorbike,59-O971088,Yamaha,Janus,active
465,user_01322,motorbike,59-N207693,Yamaha,Grande,active
466,user_01328,motorbike,60-E142368,Yamaha,Grande,active
467,user_01332,car,62-U322971,Toyota,Fortuner,active
468,user_01334,motorbike,62-S137917,Yamaha,Exciter,active
469,user_01335,motorbike,61-G204461,Honda,SH Mode,active
470,user_01336,motorbike,62-D551274,SYM,Attila,active
471,user_01337,car,61-T195897,Honda,City,active
472,user_01342,car,62-P866817,Hyundai,Tucson,active
473,user_01343,motorbike,54-H039711,Honda,Wave Alpha,active
